"Frequency [Hz]","POINT_1 1"
5.8000000000000e+02,7.6258075167865e+01
5.9000000000000e+02,8.5018733265296e+01
6.0000000000000e+02,9.6928430560254e+01
6.1000000000000e+02,9.2245236590903e+01
6.2000000000000e+02,8.5027767198228e+01
6.3000000000000e+02,7.7912381228961e+01
6.4000000000000e+02,7.1339345682980e+01
6.5000000000000e+02,8.3734197195828e+01
6.6000000000000e+02,8.6667623328839e+01
6.7000000000000e+02,8.9888776215126e+01
6.8000000000000e+02,8.6482671364029e+01
6.9000000000000e+02,8.9870333352027e+01
7.0000000000000e+02,8.7608003676906e+01
7.1000000000000e+02,8.4081458634423e+01
7.2000000000000e+02,8.3871304094247e+01
7.3000000000000e+02,7.3609700007885e+01
7.4000000000000e+02,8.3907804359761e+01
7.5000000000000e+02,8.3147814678492e+01
7.6000000000000e+02,7.8034126504363e+01
7.7000000000000e+02,7.6685932321002e+01
7.8000000000000e+02,7.7219271160196e+01
7.9000000000000e+02,7.9506589050899e+01
8.0000000000000e+02,6.9137999100552e+01
8.1000000000000e+02,7.7043332803262e+01
8.2000000000000e+02,8.3433343779216e+01
8.3000000000000e+02,8.7241677963206e+01
8.4000000000000e+02,9.3952202095459e+01
8.5000000000000e+02,8.2420877643073e+01
8.6000000000000e+02,7.0749294107697e+01
8.7000000000000e+02,8.3364048461872e+01
8.8000000000000e+02,7.4827194362426e+01
8.9000000000000e+02,8.5680505140689e+01
9.0000000000000e+02,1.0856981526414e+02
9.1000000000000e+02,8.0530933889507e+01
9.2000000000000e+02,8.1041069734947e+01
9.3000000000000e+02,8.0120192532679e+01
9.4000000000000e+02,7.9287545390413e+01
9.5000000000000e+02,7.8955863190234e+01
9.6000000000000e+02,8.2174069685067e+01
9.7000000000000e+02,8.1739484740767e+01
9.8000000000000e+02,7.7298767256092e+01
9.9000000000000e+02,7.1818601785931e+01
1.0000000000000e+03,6.5574837834824e+01
1.0100000000000e+03,7.9857642115592e+01
1.0200000000000e+03,8.5320293236150e+01
1.0300000000000e+03,8.5071662956021e+01
1.0400000000000e+03,8.1621195188870e+01
1.0500000000000e+03,7.7881183866134e+01
1.0600000000000e+03,8.1646697080884e+01
1.0700000000000e+03,7.8850625602134e+01
1.0800000000000e+03,7.9507361016694e+01
1.0900000000000e+03,8.5421618730337e+01
1.1000000000000e+03,8.8129606886705e+01
1.1100000000000e+03,9.2975418545904e+01
1.1200000000000e+03,8.9231122138199e+01
1.1300000000000e+03,8.5267673646854e+01
1.1400000000000e+03,8.1217261902390e+01
1.1500000000000e+03,7.6889807418089e+01
1.1600000000000e+03,7.6725029146895e+01
1.1700000000000e+03,8.1123612940716e+01
1.1800000000000e+03,9.7469935250859e+01
1.1900000000000e+03,8.3399082550457e+01
1.2000000000000e+03,6.4218529574795e+01
1.2100000000000e+03,7.2705978715498e+01
1.2200000000000e+03,7.4300432329587e+01
