"Frequency [Hz]","Function 2","DOMAIN InfiniteAcoustic1"
1.2800000000000e+03,6.2686707723225e-02,8.1951154701655e+01
1.2900000000000e+03,3.2725022938339e-02,7.9128199683101e+01
1.3000000000000e+03,4.0225545746356e-02,8.0024419536252e+01
1.3100000000000e+03,3.0941440192616e-03,6.8884805330693e+01
1.3200000000000e+03,1.8873819173673e-03,6.6737997985150e+01
1.3300000000000e+03,1.7259643420104e-03,6.6349718277290e+01
1.3400000000000e+03,5.7046949253907e-03,7.1541724329281e+01
1.3500000000000e+03,1.8149755205420e-02,7.6568107805427e+01
1.3600000000000e+03,2.4521700214672e-02,7.7874905874161e+01
1.3700000000000e+03,7.2203629289180e-03,7.2564990364446e+01
1.3800000000000e+03,6.9465321498840e-03,7.2397080587245e+01
1.3900000000000e+03,1.1057938475706e-02,7.4416141779485e+01
1.4000000000000e+03,1.4215419731029e-03,6.5506996960667e+01
1.4100000000000e+03,1.4107505660682e-03,6.5473902418762e+01
1.4200000000000e+03,1.1228907244163e-03,6.4482775030527e+01
1.4300000000000e+03,2.0223575815426e-03,6.7037979561489e+01
1.4400000000000e+03,1.3889033256579e-02,7.5406120264799e+01
1.4500000000000e+03,2.5436900599520e-02,7.8034042015553e+01
1.4600000000000e+03,1.4395047715660e-02,7.5561531174564e+01
1.4700000000000e+03,9.6829480834382e-02,8.3839476119973e+01
1.4800000000000e+03,2.6550871967829e-02,7.8220187971629e+01
1.4900000000000e+03,1.1510789878425e-02,7.4590451349145e+01
1.5000000000000e+03,1.6904128846059e-02,7.6259328029931e+01
1.5100000000000e+03,1.3564475777922e-02,7.5303430230502e+01
1.5200000000000e+03,2.3725270689474e-02,7.7731511848093e+01
1.5300000000000e+03,4.2163353430737e-03,7.0228751535366e+01
1.5400000000000e+03,1.1457940172739e-02,7.4570465589371e+01
1.5500000000000e+03,4.3185136882293e-03,7.0332743091748e+01
1.5600000000000e+03,2.5750920487725e-03,6.8087327665384e+01
1.5700000000000e+03,4.3339111015040e-03,7.0348200073674e+01
1.5800000000000e+03,1.0108935206898e-02,7.4026454216199e+01
1.5900000000000e+03,2.3345494526251e-02,7.7661430866710e+01
1.6000000000000e+03,5.4218937670860e-03,7.1320910127280e+01
1.6100000000000e+03,3.8209001900869e-02,7.9801057018274e+01
1.6200000000000e+03,3.1416147355388e-02,7.8950929339691e+01
1.6300000000000e+03,9.8269817765286e-03,7.3903601593551e+01
1.6400000000000e+03,3.1200048899950e-02,7.8920952833623e+01
1.6500000000000e+03,1.9090789139755e-02,7.6787638894993e+01
1.6600000000000e+03,8.7966170310204e-03,7.3422556936365e+01
1.6700000000000e+03,1.2389081771287e-02,7.4909791280876e+01
1.6800000000000e+03,1.7062919521563e-03,6.6299933510736e+01
1.6900000000000e+03,6.8843650485100e-03,7.2358038997218e+01
1.7000000000000e+03,8.5089523605215e-03,7.3278161008303e+01
1.7100000000000e+03,3.7644214050866e-03,6.9736382428905e+01
1.7200000000000e+03,8.1020475204665e-03,7.3065347947692e+01
1.7300000000000e+03,3.8021025524077e-02,7.9779638353898e+01
1.7400000000000e+03,3.7563738567956e-02,7.9727088180018e+01
1.7500000000000e+03,2.6532528356020e-02,7.8217186457161e+01
1.7600000000000e+03,8.7525989976947e-03,7.3400770402953e+01
1.7700000000000e+03,1.2507165795654e-03,6.4950989155869e+01
1.7800000000000e+03,1.5715476507425e-02,7.5942675624258e+01
1.7900000000000e+03,6.7662268860504e-02,8.2282865651905e+01
1.8000000000000e+03,5.3650187373284e-03,7.1275112517502e+01
1.8100000000000e+03,1.6477297111284e-03,6.6148259814502e+01
1.8200000000000e+03,5.3219785946902e-03,7.1240131321331e+01
1.8300000000000e+03,5.1894420272135e-03,7.1130606733549e+01
1.8400000000000e+03,2.9907099974000e-03,6.8737143111600e+01
