"Frequency [Hz]","Function 2","DOMAIN InfiniteAcoustic1"
4.2200000000000e+03,7.0682687693134e-03,7.2472530637697e+01
4.2300000000000e+03,3.5845997191595e-03,6.9523806751010e+01
4.2400000000000e+03,1.2969308037365e-03,6.5108568140876e+01
4.2500000000000e+03,1.8704558365094e-02,7.6698874671637e+01
4.2600000000000e+03,6.2851906700744e-03,7.1962584658261e+01
4.2700000000000e+03,3.4048970587499e-03,6.9300439949670e+01
4.2800000000000e+03,8.7987039180033e-03,7.3423587123319e+01
4.2900000000000e+03,1.4880433028879e-02,7.5705555782768e+01
4.3000000000000e+03,7.1906046813178e-03,7.2547054218251e+01
4.3100000000000e+03,8.1675260836309e-03,7.3100305387750e+01
4.3200000000000e+03,3.1002873877028e-03,6.8893419622187e+01
4.3300000000000e+03,1.0348690404554e-02,7.4128254032900e+01
4.3400000000000e+03,3.1375015857150e-03,6.8945239626566e+01
4.3500000000000e+03,6.1812634596284e-03,7.1890172632854e+01
4.3600000000000e+03,1.4549982963676e-02,7.5608024934863e+01
4.3700000000000e+03,3.0985331868367e-03,6.8890961606933e+01
4.3800000000000e+03,2.2253428902156e-02,7.7453369470700e+01
4.3900000000000e+03,2.8374800670809e-02,7.8508728280231e+01
4.4000000000000e+03,6.0368974500428e-03,7.1787538071429e+01
4.4100000000000e+03,2.4528052851680e-03,6.7876030819769e+01
4.4200000000000e+03,4.8151294665684e-02,8.0805479773622e+01
4.4300000000000e+03,6.8516303224614e-03,7.2337339313767e+01
4.4400000000000e+03,1.5838714267027e-03,6.5976599328069e+01
4.4500000000000e+03,3.5736469360603e-03,6.9510516521704e+01
4.4600000000000e+03,6.4761827333691e-03,7.2092591030731e+01
4.4700000000000e+03,7.9099937057836e-03,7.2961161465889e+01
4.4800000000000e+03,1.3402775814875e-02,7.5251347619800e+01
4.4900000000000e+03,4.5536080811153e-03,7.0562956578028e+01
4.5000000000000e+03,4.9497292351085e-03,7.0925214510572e+01
4.5100000000000e+03,1.0343008285908e-02,7.4125868812747e+01
4.5200000000000e+03,1.4787458299598e-02,7.5678335416061e+01
4.5300000000000e+03,3.1079097562081e-02,7.8904084084567e+01
4.5400000000000e+03,8.7855359719510e-03,7.3417082699570e+01
4.5500000000000e+03,3.7927684954532e-02,7.9768963435405e+01
4.5600000000000e+03,8.6057870767826e-03,7.3327306052963e+01
4.5700000000000e+03,4.4006424801675e-03,7.0414560954360e+01
4.5800000000000e+03,8.8764713291607e-03,7.3461803633202e+01
4.5900000000000e+03,8.4882550450204e-03,7.3267584289269e+01
4.6000000000000e+03,4.1257850453201e-03,7.0134466060214e+01
4.6100000000000e+03,1.4528100353636e-02,7.5601488397719e+01
4.6200000000000e+03,3.7025716475769e-03,6.9664434798751e+01
4.6300000000000e+03,1.0152472286982e-02,7.4045118213500e+01
4.6400000000000e+03,1.3823654073498e-02,7.5385628660515e+01
4.6500000000000e+03,5.7292743890299e-03,7.1560396308497e+01
4.6600000000000e+03,7.7264423252799e-03,7.2859195757904e+01
4.6700000000000e+03,1.7728405816770e-02,7.6466096931670e+01
4.6800000000000e+03,1.4968124308812e-02,7.5731073899523e+01
4.6900000000000e+03,1.8592282342775e-02,7.6672727146371e+01
4.7000000000000e+03,1.5589236030410e-02,7.5907648412498e+01
4.7100000000000e+03,6.3148255007431e-03,7.1983013627540e+01
4.7200000000000e+03,2.7115043854313e-03,6.8311503198470e+01
4.7300000000000e+03,1.5315593088204e-03,6.5830738279633e+01
4.7400000000000e+03,6.1415931702507e-03,7.1862210533146e+01
4.7500000000000e+03,6.9082737003282e-03,7.2373095443115e+01
4.7600000000000e+03,4.2379458716119e-03,7.0250954141354e+01
4.7700000000000e+03,1.7176562849222e-02,7.6328762714874e+01
4.7800000000000e+03,2.1346913827882e-03,6.7272751056255e+01
4.7900000000000e+03,2.0834267757395e-02,7.7167182499899e+01
4.8000000000000e+03,2.8072807359451e-03,6.8462258541441e+01
4.8100000000000e+03,8.7963721317730e-03,7.3422436026392e+01
4.8200000000000e+03,3.1539018301466e-02,7.8967881798180e+01
4.8300000000000e+03,1.4146857592210e-02,7.5485999904458e+01
4.8400000000000e+03,9.1514725946397e-03,7.3594309921667e+01
4.8500000000000e+03,8.2640500201902e-03,7.3151329458655e+01
4.8600000000000e+03,6.0100216412513e-03,7.1768160445116e+01
4.8700000000000e+03,3.1131845832911e-03,6.8911448797973e+01
4.8800000000000e+03,1.2373322661332e-02,7.4904263469200e+01
4.8900000000000e+03,9.9633085164505e-03,7.3963435872404e+01
4.9000000000000e+03,3.4198492669830e-03,6.9319469732194e+01
4.9100000000000e+03,2.8219301591660e-03,6.8484862697331e+01
4.9200000000000e+03,1.0068016712513e-01,8.4008839364608e+01
4.9300000000000e+03,1.3020509014904e-02,7.5125679712485e+01
4.9400000000000e+03,4.4783893741723e-03,7.0490618593494e+01
4.9500000000000e+03,5.0198019541313e-03,7.0986265919675e+01
4.9600000000000e+03,1.5970217624445e-02,7.6012508429352e+01
4.9700000000000e+03,1.1312364138577e-02,7.4514933850426e+01
4.9800000000000e+03,5.2005475709763e-02,8.1139890820248e+01
4.9900000000000e+03,1.6902161309050e-02,7.6258822508347e+01
5.0000000000000e+03,7.4447809673523e-03,7.2697919335850e+01
